Sector;Row;Number;Multi;X;Y;Angle;Type
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
2;1;1;1,4;600;900;0;STAND
;;;;;;;
;;;;;;;
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
3;1;1;1,2;600;1450;0;STAND
